Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
1000_1, 1000, 4371, 4295.2, 49.0596, 13.7614, 1.0942
1000_2, 1000, 4572, 4512.1, 38.9714, 14.6925, 1.04373
1000_3, 1000, 4626, 4574, 37.6652, 13.2102, 1.79734
1000_4, 1000, 4682, 4631.1, 28.68, 13.6619, 1.11009
1000_5, 1000, 4757, 4694.5, 39.8532, 13.1258, 1.14867
1000_6, 1000, 4622, 4564.8, 32.8559, 11.8447, 0.931414
1000_7, 1000, 4677, 4621.7, 36.8753, 14.3749, 1.80096
1000_8, 1000, 4764, 4715.4, 26.4079, 14.0574, 1.43323
1000_9, 1000, 4668, 4618, 31.0305, 12.6436, 1.37631
1000_10, 1000, 4760, 4715.4, 25.8035, 14.7352, 1.124
