Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
700_1, 700, 3267, 3195.9, 36.789, 9.97505, 1.3812
700_2, 700, 3093, 3033.7, 34.8745, 10.704, 1.55258
700_3, 700, 3432, 3386.3, 30.3793, 11.3221, 1.31696
700_4, 700, 3412, 3361, 29.5672, 11.7725, 1.69699
700_5, 700, 3304, 3272.2, 23.1987, 11.0262, 1.01818
700_6, 700, 3346, 3299.6, 26.0265, 11.4018, 1.41232
700_7, 700, 3212, 3190, 18.8208, 12.0009, 1.31584
700_8, 700, 3294, 3238.6, 41.1696, 10.1051, 0.941704
700_9, 700, 3196, 3149.2, 19.1125, 12.105, 1.67841
700_10, 700, 3302, 3267, 28.4527, 11.5153, 1.19409
