Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
500_1, 500, 2404, 2382.4, 19.0858, 9.57963, 1.48754
500_2, 500, 2489, 2472.7, 14.8403, 9.53535, 1.2963
500_3, 500, 2330, 2286.4, 25.6957, 9.2171, 1.06765
500_4, 500, 2413, 2378.5, 22.4512, 8.68497, 1.16481
500_5, 500, 2497, 2458.1, 24.6912, 7.88712, 0.948232
500_6, 500, 2382, 2352, 24.9533, 8.56077, 1.51193
500_7, 500, 2390, 2366.3, 21.0874, 9.47334, 1.41975
500_8, 500, 2392, 2366.9, 17.8167, 8.18658, 1.30715
500_9, 500, 2507, 2463.3, 35.7275, 7.48866, 1.04431
500_10, 500, 2378, 2310.2, 35.7174, 8.683, 1.26377
